adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/y7L6LQKiZPlPZYSXqFkxqfB1Te0.jpg,"[16, 878, 28, 18]",22843,ja,ヱヴァンゲリヲン新劇場版：破,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",23.338,/7VLYN2CfJpB6PrcuzDKKqdGSUi6.jpg,2009-06-26,Evangelion: 2.0 You Can (Not) Advance,False,7.8,863
False,/5pNH4IvHu4A0Fhbtecklw3QFYyY.jpg,[35],829051,en,About My Father,"Encouraged by his girlfriend Ellie, Sebastian and his Italian immigrant father, Salvo, spend the 4th of July weekend with her wealthy and exceedingly eccentric family. The gathering soon develops into a culture clash, allowing father and son to discover the true meaning of family.",23.337,/hQUT2B0QVV17pYMHyLzdNGVdrBF.jpg,2023-05-25,About My Father,False,6.088,302
False,/vqL1DAd9FbU2CvnG6hLX82bQM0q.jpg,"[35, 10749]",193610,en,The Other Woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.",23.333,/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg,2014-04-16,The Other Woman,False,6.424,3529
False,/edOt2jNyCbb8SQSvulD2sRRJhmA.jpg,"[28, 80, 12, 53]",873126,it,Il mio nome è vendetta,"After old enemies kill his family, a former mafia enforcer and his feisty daughter flee to Milan, where they hide out while plotting their revenge.",23.328,/7l3war94J4tRyWUiLAGokr3ViF2.jpg,2022-11-30,My Name Is Vendetta,False,6.6,589
False,/gIQ3AGPR6WAWzh70mulRDN8kd23.jpg,"[16, 35, 878, 10770]",1190012,en,South Park: Joining the Panderverse,"Cartman's deeply disturbing dreams portend the end of the life he knows and loves. Meanwhile, the adults in South Park are wrestling with their own life decisions, as the advent of AI is turning their world upside down.",23.325,/18IsRVfs5MkkTcqTGlUAnka6sCh.jpg,2023-10-28,South Park: Joining the Panderverse,False,7.7,203
False,,[],1394115,en,Dame Maggie Smith - A Celebration,"A tribute to the celebrated and enigmatic actress, with her life story told by those who knew her best, celebrating her much-loved appearances across film and TV spanning almost 70 years. Smith, who died in September of this year, had gained a new level of popularity playing the razor-tongued Lady Violet Crawley in Downton Abbey, but for all her success, remained a very private person who had little time for the trappings that came with fame. The film tells the story of a girl born in pre-war Essex who, against the odds, took Broadway and the West End by storm before eventually becoming one of the world's most popular and respected performers.",23.323,,2024-12-14,Dame Maggie Smith - A Celebration,False,0.0,0
False,/bwLQCW6LqmrJ6aJsevypcg93JCU.jpg,"[80, 18, 53]",1645,en,A Time to Kill,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",23.318,/w8UCke112E9jrhjKcwG32kyhTx5.jpg,1996-07-24,A Time to Kill,False,7.379,2514
False,/35t5QGiekW1E9WkrIlDJ8JVT0tq.jpg,"[18, 10749]",649,fr,Belle de jour,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",23.318,/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg,1967-05-24,Belle de Jour,False,7.364,888
False,/jnSB3v76tGte9lzHS1XLGu75oaT.jpg,"[27, 53]",11442,en,Halloween: Resurrection,Reality programmers at DangerTainment select a group of thrill-seeking teenagers to spend one night in the childhood home of serial killer Michael Myers. Their planned live broadcast turns deadly when Michael decides to crash the party.,23.315,/1mlKwbNzJCGzqe4i0ZEJtUUL290.jpg,2002-07-01,Halloween: Resurrection,False,4.608,1259
False,/8NPs9xKPO5Or77wVfbRU6Ja2rfe.jpg,"[28, 53, 35, 18]",9618,en,Tango & Cash,"Ray Tango and Gabriel Cash are two successful narcotics detectives who can't stand each other. Crime lord Yves Perret, furious at the loss of income they have caused him, plots an elaborate revenge against them.",23.31,/jxxxjTu87OSmQYkMFF7MgOEDXRn.jpg,1989-12-22,Tango & Cash,False,6.454,1909
